No,Process,Menu,BA Section,BA Sub-section,BA UI Field,BA Mandatory,BA Edit type (ESS),BA Edit type (admin),Section on screen?,Screen section (EN),Screen section (TH),Status,Matched UI label on screen,Note,Evidence screenshot
115,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,National ID/Tax-ID,Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,National ID / เลขบัตรประชาชน — masked (Advanced personal card),,shots/en-emp-header.png
116,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Issue Date,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
117,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Expiry Date,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
118,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Attachment,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
119,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Country,Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
120,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Issue Date,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
121,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Expiry Date,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
122,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Is Primary,Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
123,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Probation Exemption,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
124,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Band,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
125,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Corporate Title,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
126,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Supervisor ID,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
127,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Special Benefit Group,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Special benefit group / กลุ่มสิทธิพิเศษ,,shots/en-emp-employment.png
128,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Employee Group,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
129,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Employee Subgroup,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
130,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Personnel Grade,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Pay Grade / ประเภท,,shots/en-emp-employment.png
131,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Contract Type,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
132,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Contract End Date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
133,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Project name,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
134,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Partner University,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
135,Maintain,Personal,Advanced Information,,Group of people,Not Required,view,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
136,Maintain,Personal,Advanced Information,,Description,Not Required,view,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
137,Maintain,Personal,Advanced Information,,Additional Information - Name,Not Required,view,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
138,Maintain,Personal,Advanced Information,,Additional Information - URL,Not Required,view,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
139,Maintain,Personal,COI Approval,,Approval ID (YYYY-COI-000),Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
140,Maintain,Personal,COI Approval,,Company Name,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
141,Maintain,Personal,COI Approval,,Business Type,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
142,Maintain,Personal,COI Approval,,Business Nature,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
143,Maintain,Personal,COI Approval,,Position Name,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
144,Maintain,Personal,COI Approval,,Term,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
145,Maintain,Personal,COI Approval,,Start Date,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
146,Maintain,Personal,COI Approval,,Compensation Rate,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
147,Maintain,Personal,COI Approval,,End Date,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
148,Maintain,Personal,COI Approval,,Approved Date,Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
149,Maintain,Personal,COI Approval,,Attachment,Not Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
150,Maintain,Personal,COI Approval,,Attachment2,Not Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
151,Maintain,Personal,COI Approval,,End Date,Not Required,view,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
152,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Type,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
153,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Degree Level,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
154,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Course,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
155,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Course of Time,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
156,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Academic Year,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
157,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Graduation Date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
158,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,DVT: Bonding End date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
159,Hiring,Employment,Job Information (ข้อมูลงาน),DVT,Scholarship,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
160,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Probationary Period End Date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
161,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Extended Retirement Date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
162,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Extended Probation Date,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
163,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Band Matching,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
164,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Transfer from,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
165,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Country,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
166,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Job Code,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
167,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Job Role,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
168,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Job Family,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
169,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Job Type,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
170,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Job Grade,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
171,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Function,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
172,Hiring,Employment,Job Information (ข้อมูลงาน),,Attachment,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
173,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Transfer out to,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
174,Hiring,Employment,Job Information (ข้อมูลงาน),Job Information,Transfer in to,refer to employee group,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
175,Hiring,Employment,Job Information (ข้อมูลงาน),Job Relationships,Relationship Type,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
176,Hiring,Employment,Job Information (ข้อมูลงาน),Job Relationships,Name,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
177,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Nickname (EN/TH),Not Required,edit without approval,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
178,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Gender,Required,view,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
179,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Military Status,Not Required,,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,Military status / สถานะทางทหาร (Advanced personal card),,shots/en-emp-marital.png
180,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Salutation (Local),Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
181,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Other Title (TH),Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
182,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Firstname (Local),Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,TH name line (snapshot header),,shots/en-emp-marital.png
183,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Lastname (Local),Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,TH name line (snapshot header),,shots/en-emp-marital.png
184,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Middle Name (Local),Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
185,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Nationality,Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
186,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Foreigner,Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
187,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Blood Type,Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,Blood type / กรุ๊ปเลือด (Advanced personal card),,shots/en-emp-marital.png
188,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Marital Status,Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,Status / สถานภาพ,,shots/en-emp-marital.png
189,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),,Marital Status Since,Not Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,FOUND,Since / มีผลตั้งแต่,,shots/en-emp-marital.png
190,Hiring,Personal,Personal Information (ข้อมูลส่วนตัว),Personal Information,Attachment,Required,edit with approval flow_1,edit without approval,YES,Marital status,สถานภาพสมรส,MISSING,,"Section ""Marital status"" is on screen, but this field is not rendered",shots/en-emp-marital.png
191,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Organization,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Organization / หน่วยงาน,,shots/en-emp-employment.png
192,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Target Position,Position,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Position / ตำแหน่ง,,shots/en-emp-employment.png
193,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Target Position,Company,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Company / บริษัท,,shots/en-emp-employment.png
194,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Cost Centre,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
195,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Function,,,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
196,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Point of Sales,Not required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
197,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Zone,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
198,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,HR District,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
199,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Work Location,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
200,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Business unit,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,PARTIAL,(no dedicated label),"implied by ""อายุงานใน BU"" only — no BU field rendered",shots/en-emp-employment.png
201,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Group,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
202,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Store Brand/ Format,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
203,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,store size,Not Required,,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
204,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Store/ Branch Code,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
205,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Brand,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
206,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,SSO Location,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
207,Hiring,Employment,Position & Organization (ตำแหน่งและสังกัด),Organization Information,Time Zone,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
208,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Name,Not Required,edit without approval,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,PARTIAL,(no dedicated label),card summary line,shots/en-emp-emergency.png
209,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Relationship,Not Required,edit without approval,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,PARTIAL,(no dedicated label),card summary line,shots/en-emp-emergency.png
210,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary,Not Required,edit without approval,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,PARTIAL,(no dedicated label),"""Primary"" badge on the summary line",shots/en-emp-emergency.png
211,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Phone,Not Required,edit without approval,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,PARTIAL,(no dedicated label),card summary line,shots/en-emp-emergency.png
212,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),copy Address from Employee,Not Required,edit without approval,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
213,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Country,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
214,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),House Number,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
215,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Building,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
216,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Floor,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
217,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Village,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
218,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Moo,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
219,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Lane / Soi,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
220,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Street,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
221,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Province,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
222,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),District,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
223,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Sub-District,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
224,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Postal Code,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
225,Hiring,Personal,Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Attachment,,,edit without approval,YES,Emergency contacts,ผู้ติดต่อฉุกเฉิน,MISSING,,"Section ""Emergency contacts"" is on screen, but this field is not rendered",shots/en-emp-emergency.png
226,Hiring,Employment,Time Information (ข้อมูลเวลางาน),,Day off Type,Not Required,view,,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
227,Hiring,Employment,Time Information (ข้อมูลเวลางาน),,PF service End Date,Not Required,view,,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
228,Hiring,Employment,Time Information (ข้อมูลเวลางาน),,Time Management Status,Required,view,,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
229,Maintain,Employment,compensation Information,Payroll Information,Payslips,Not Required,view,,YES,Documents & e-letter,เอกสารและหนังสือ,MISSING,,"Section ""Documents & e-letter"" is on screen, but this field is not rendered",shots/en-emp-documents.png
